id,role,type,description,size/ratio,style line ref,source
arena_highlands,BattleScene highland world parallax segment,background,"Layered twilight mountain highlands reused as alternating distant sections behind a 7200-unit authored terrain profile",16:9,STYLE_FORMULA_v1.0,public/assets/arena-highlands.png
arena_canyon,BattleScene canyon world parallax segment,background,"Warm ember canyon reused as alternating distant sections behind a 7200-unit authored terrain profile",16:9,STYLE_FORMULA_v1.0,public/assets/arena-canyon.png
terrain_highlands,BattleScene deterministic highland foreground,environment,"Multi-height indigo cut-paper ridgelines with playable plateaus valleys and a mint-edged ground silhouette",7200x900 world,STYLE_FORMULA_v1.0,code-native
terrain_canyon,BattleScene deterministic canyon foreground,environment,"Multi-height charcoal and sandstone cut-paper mesas with playable plateaus valleys and an amber-edged ground silhouette",7200x900 world,STYLE_FORMULA_v1.0,code-native
arena_obstacles,BattleScene physical cover and landmarks,environment,"Chunky outlined rock pillars fortress blocks and carved barriers aligned exactly with deterministic colliders",variable world objects,STYLE_FORMULA_v1.0,code-native
dynamic_world_layers,BattleScene camera-responsive atmosphere,environment,"Layered cut-paper midground ridges drifting cloud bands and parallax scenery that move at different depths without changing deterministic collisions",7200x900 visual world,STYLE_FORMULA_v1.0,code-native
arena_selector,MenuScene arena selection cards,ui,"Two wide illustrated arena cards with strong selected and unselected states",760x250 each,STYLE_FORMULA_v1.0,code-native
orientation_notice,Portrait-device guidance,ui,"Centered dark cut-paper rotation card with warm amber signal",1:1 responsive,STYLE_FORMULA_v1.0,code-native
catapult_left_legacy,Unused original left catapult concept,sprite,"Legacy clean medieval concept retained only as a source reference",170x113 world units,STYLE_FORMULA_v1.0,public/assets/catapult-left.png
catapult_right_legacy,Unused original right catapult concept,sprite,"Legacy clean medieval concept retained only as a source reference",170x113 world units,STYLE_FORMULA_v1.0,public/assets/catapult-right.png
catapult_layered_sprites,CatapultView animated combat object,sprite,"Six transparent wasteland-machine layers: welded rusty chassis hydraulic throwing arms with real buckets and scavenged wheels; faded cyan and burnt-orange faction markings",dynamic composite,STYLE_FORMULA_v1.1,public/assets/catapult-{left|right}-{body|arm|wheel}.png
catapult_mechanics,CatapultView moving arm bucket wheels recoil and impact response,environment,"Independent illustrated throwing arm and wheels animated around authored pivots from aim power shot and impact state",dynamic composite,STYLE_FORMULA_v1.1,code-native
aiming_panel,Angle power and fire controls,ui,"Worn military control panel with welded seams rivets teal gauges hazard marks and an orange fire control",720x170,STYLE_FORMULA_v1.1,code-native
trajectory_preview,Aiming feedback,ui,"Mint glowing dotted arc showing the first quarter of the calculated trajectory",dynamic,STYLE_FORMULA_v1.0,code-native
